"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034331","cell junction maintenance","11/1007","68/28928",0.161764705882353,4.64700040890239,5.71798555296679,2.14828059082871e-05,0.00112292416716442,0.000908779223620301,"Dgkz/Hspa8/L1cam/Rimbp2/Mtss1/Syngap1/Shank1/Camsap3/Plxna4/Epb41l3/Rims2",11
"GO:0007611","learning or memory","29/1007","356/28928",0.0814606741573034,2.34011358691407,4.83166969730517,2.31365035287416e-05,0.00119689664646624,0.000968644933411668,"Mapt/Paip2/Nf1/Deaf1/Picalm/Pla2g6/Nrg1/Fos/Ube3a/Rapgef3/Syngap1/Shank1/Elavl4/Slc12a5/Vdac3/Synj1/Kcnq2/Dbh/Nrxn3/Nptn/Kat2a/Pak6/Idua/Ncam1/Creb1/Adnp/Cacna1c/Grin1/Chrd",29
"GO:0071692","protein localization to extracellular region","34/1007","452/28928",0.0752212389380531,2.16087388282026,4.7240633689176,2.51772221180107e-05,0.00128917653661406,0.00104332677692036,"Slc9b2/Neo1/Pla2g6/Hps1/Gipr/Myo18a/Sel1l/Abat/Isl1/Snx19/Dnm1l/Copg2/Cask/Abca1/Zfp384/Pparg/Rfx3/Lmf1/Brsk2/Aacs/Idua/Ppid/Map4k4/Hmgn3/Atp13a2/Gpld1/Madd/Cacna1c/Slc16a1/Dgat1/Atg7/Rims2/Gsdmd/Clock",34
"GO:0006898","receptor-mediated endocytosis","25/1007","286/28928",0.0874125874125874,2.5110936729606,4.87723500628142,2.60844841391045e-05,0.0013221408223235,0.00107000467632818,"Myo6/Slc9b2/Picalm/Nrg1/Ache/Dlg4/Hpca/Usp46/Pikfyve/Sh3glb2/Gria2/Synj1/Numb/Sirt2/Cttn/Scrib/Itgav/Tpcn2/Iqsec1/Calcrl/Scyl2/Dnajc6/Syt17/Aak1/Sgip1",25
"GO:0098930","axonal transport","11/1007","70/28928",0.157142857142857,4.51422896864803,5.59045181595812,2.84617793674603e-05,0.00142821208865916,0.00115584783999644,"Ap3d1/Map2/Ank3/Atg16l1/Ap3s1/Dst/Terf2/Madd/Kif1b/Trim46/Ndel1",11
"GO:0007044","cell-substrate junction assembly","13/1007","98/28928",0.13265306122449,3.81071276574185,5.29307602152709,3.55127364096295e-05,0.00174832834138675,0.00141491698119823,"Sorbs1/Macf1/Camsap3/Slk/Peak1/Dmtn/Cttn/Dst/Itgav/Clasp2/Map4k4/Plec/Ptk2",13
"GO:0007033","vacuole organization","22/1007","239/28928",0.0920502092050209,2.64431822431266,4.84761436968789,3.58685386541126e-05,0.00174832834138675,0.00141491698119823,"Hspa8/Sh3glb1/Hps1/Arsg/Atg16l1/Vps54/Elapor1/Hps4/Pikfyve/Vps11/Atg4c/Becn1/Abca1/Flcn/Tpcn2/Chmp3/Idua/Sec22b/Zkscan3/Atp13a2/Atg7/Tom1",22
"GO:0003012","muscle system process","34/1007","460/28928",0.0739130434782609,2.12329346746686,4.61205650300606,3.58863728901624e-05,0.00174832834138675,0.00141491698119823,"Stac/Agrn/Camk2d/Pla2g6/Cacna1g/Pdlim5/Myl6/Ezh2/Slc8a1/Scn1a/Abat/Vps54/Ryr1/Akap1/P2rx4/Becn1/Bin1/Tafazzin/Fkbp1a/Pde9a/Mef2a/Flna/Cttn/Pparg/Rnf207/Tpcn2/Kcnma1/Calcrl/Cald1/Camk2g/Cacna1c/Shc1/Ptk2/Foxp1",34
"GO:0010970","transport along microtubule","19/1007","190/28928",0.1,2.87269116186693,4.91830706807431,3.90148261559926e-05,0.00188246536202664,0.00152347367722489,"Hspa8/Mapt/Ap3d1/Map2/Dync1i2/Ank3/Atg16l1/Copg2/Camsap3/Ccdc38/Rpgr/Ap3s1/Dst/Terf2/Madd/Kif1b/Trim46/Klc1/Ndel1",19
"GO:0031110","regulation of microtubule polymerization or depolymerization","13/1007","99/28928",0.131313131313131,3.77222071760304,5.2472476508277,3.95947615968784e-05,0.0018922525113632,0.00153139438837852,"Eml2/Mapt/Map2/Camsap3/Cdk5rap2/Dctn1/Clasp2/Bbof1/Cib1/Ttbk2/Stmn4/Eml4/Inpp5j",13
"GO:0010821","regulation of mitochondrion organization","15/1007","128/28928",0.1171875,3.36643495531281,5.09570480718504,4.06575202256308e-05,0.0019247116650209,0.00155766348590351,"Mapt/Pla2g6/Higd1a/Mief2/Bak1/Myo19/Bmf/Dnm1l/Cyrib/Mff/Ddhd1/Pparg/Atp13a2/Ppargc1a/Huwe1",15
