ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
286	416,429,380	13,3,5	392,446,367	7,7,21	151	149
287	619,600,655	16,9,5	465,638,536	4,15,6	193	149
288	130,132,140	44,72,63	158,130,162	62,56,89	152	149
290	10,10,10	14,8,14	2,8,2	4,8,7	184	149
291	4,1,3	574,673,616	1,7,1	848,1112,1023	173	149
292	12,1,5	1505,1554,1516	11,15,2	1916,2227,2575	159	149
293	2,6,0	0,6,6	0,0,4	0,0,0	245	149
302	752,765,742	1,0,0	610,774,791	1,0,0	152	149
303	173,222,197	561,561,528	228,234,235	634,671,596	152	149
305	77,92,108	26,12,18	85,67,72	22,22,28	152	149
306	92,73,101	127,137,91	71,108,78	89,120,115	191	149
307	200,163,264	37,19,43	112,147,190	12,22,42	167	149
308	163,132,168	0,0,0	80,93,105	0,3,0	298	149
309	3,1,4	318,384,345	0,4,7	445,382,460	164	149
310	544,513,620	13,10,14	546,612,593	12,14,4	154	149
311	23,4,18	397,368,473	14,34,8	359,432,439	197	149
312	0,5,3	0,0,0	3,9,5	0,1,0	288	149
313	12,4,7	0,0,2	5,14,12	0,2,0	152	149
314	3,3,0	0,0,0	0,1,0	0,0,3	151	149
315	181,135,112	0,0,1	138,189,204	0,1,2	151	149
318	10,5,20	30,65,54	7,17,14	63,76,70	170	149
319	7,5,12	4,2,12	0,8,15	4,4,3	170	149
320	26,9,28	4,2,12	8,15,26	4,4,3	188	149
321	19,5,16	0,1,0	8,7,12	0,0,1	167	149
322	283,244,257	155,140,139	239,238,306	112,114,155	152	149
323	275,297,287	0,0,0	349,378,359	0,0,1	298	149
324	158,197,165	113,132,137	169,284,299	133,168,156	170	149
325	221,230,206	0,1,0	259,342,325	1,4,1	158	149
326	1,2,3	233,280,263	1,2,10	294,387,390	162	149
327	1043,1308,1108	0,0,0	1309,1342,1275	0,3,0	298	149
328	905,824,836	0,0,0	666,774,884	0,0,3	298	149
329	563,592,495	0,0,4	472,611,583	0,0,0	298	149
331	538,572,444	0,0,0	992,952,912	15,3,2	191	149
332	2496,2666,2352	7,2,6	3881,4066,3901	15,7,35	191	149
333	1387,1462,1237	63,93,83	2341,2321,2220	164,217,176	189	149
334	37,28,45	362,334,362	46,32,52	362,424,337	152	149
335	2,0,0	7,15,12	2,0,0	23,7,18	152	149
336	890,910,892	8,2,5	758,901,982	3,5,13	298	149
337	503,540,512	0,0,0	413,520,518	0,0,1	298	149
338	858,913,910	102,137,121	854,1031,1125	92,108,157	173	149
339	67,62,71	0,0,4	67,70,78	0,0,0	294	149
340	1040,1181,1106	0,0,0	1394,1864,1743	0,2,0	294	149
342	25,31,11	0,1,0	46,42,27	0,0,0	298	149
345	4,6,5	1292,1303,1269	9,8,10	1107,1248,1358	168	149
354	160,268,212	65,74,67	127,176,159	49,67,70	152	149
355	549,556,565	2,0,0	491,557,614	3,0,3	298	149
356	6,0,2	483,527,513	0,1,0	509,652,601	262	149
357	920,825,1004	10,0,2	804,987,1075	6,3,4	298	149
358	1379,1527,1360	20,23,25	2037,2302,2190	22,57,36	160	149
359	158,143,131	526,561,574	183,175,148	546,603,544	152	149
360	0,0,1	0,0,1	7,1,0	0,3,0	152	149
361	54,62,61	0,4,3	93,186,136	0,0,0	183	149
362	1,1,9	317,338,352	0,7,3	365,472,476	185	149
363	3571,3657,3495	44,24,23	4243,5295,4743	81,104,105	268	149
365	581,561,615	0,1,8	802,991,935	3,1,2	153	149
366	61,58,59	0,1,8	62,71,43	3,1,2	235	149
367	34,36,32	554,539,588	21,28,10	761,948,902	231	149
368	34,33,33	498,653,632	21,28,10	500,589,622	231	149
369	117,127,114	0,0,0	96,104,120	0,1,0	217	149
372	607,632,581	128,124,105	332,505,411	69,85,85	158	149
373	250,263,291	165,162,145	313,392,304	155,188,211	181	149
374	7,10,19	1,0,1	10,24,42	0,0,2	181	149
375	42,58,85	1,0,4	88,126,143	0,1,1	298	149
376	663,679,705	5,1,2	668,781,750	0,0,2	178	149
377	773,877,812	268,216,201	744,904,875	248,285,286	152	149
378	550,527,548	700,783,679	484,517,639	554,657,696	152	149
379	1456,1550,1410	98,80,54	1395,1524,1857	83,85,69	170	149
380	35,40,47	0,3,5	16,5,14	0,0,0	212	149
381	813,832,846	1,0,0	1081,1334,1381	1,0,0	160	149
384	26,28,21	2,2,3	10,11,6	0,1,0	187	149
389	960,1000,986	2,7,8	995,1197,1123	0,5,1	298	149
