"gene_id_clean","gene_symbol","log2FoldChange","padj"
"ENSMUSG00000002058","Unc119",-0.836434877557847,9.82348130288847e-40
"ENSMUSG00000028751","Pla2g2e",-1.67025982342059,1.10267219539611e-39
"ENSMUSG00000032220","Myo1e",-3.97840520615539,1.11757075161796e-39
"ENSMUSG00000052684","Jun",0.821696019350062,1.18325177600116e-39
"ENSMUSG00000032523","Hhatl",-2.62851121125242,1.37889720384091e-39
"ENSMUSG00000051652","Lrrc3",-1.05553347384151,1.66620013341665e-39
"ENSMUSG00000105987","ENSMUSG00000105987",0.793380008543715,1.79515158425747e-39
"ENSMUSG00000037443","Cep85",0.666487583951933,1.97274347776049e-39
"ENSMUSG00000064329","Scn1a",-2.16177141660879,2.21850314839693e-39
"ENSMUSG00000019806","Aig1",-1.2684119743826,2.51879812993003e-39
"ENSMUSG00000078302","Foxd1",-0.887044078318542,2.61762989531895e-39
"ENSMUSG00000029419","Ajm1",-0.994661394842251,3.36054235180276e-39
"ENSMUSG00000053580","Tanc2",0.794170203711586,3.82177206448533e-39
"ENSMUSG00000039007","Cpq",2.26112908545174,4.84342293469018e-39
"ENSMUSG00000017716","Birc5",0.788389258743477,4.94032455461146e-39
"ENSMUSG00000022360","Atad2",0.831383414378504,5.14543202222696e-39
"ENSMUSG00000039747","Orai2",-1.06873903249131,7.06114623351526e-39
"ENSMUSG00000027858","Tspan2",-0.636018019697283,8.13091878421997e-39
"ENSMUSG00000028072","Ntrk1",-0.756301343996175,9.63535632261918e-39
"ENSMUSG00000031221","Igbp1",-1.05289431330088,9.85311712873801e-39
"ENSMUSG00000009569","Mrtfb",0.757188257891708,9.94152100875772e-39
"ENSMUSG00000005470","Asf1b",0.945113655466247,1.08719280670519e-38
"ENSMUSG00000050751","Pgbd5",-1.15499025825341,1.08719280670519e-38
"ENSMUSG00000002489","Tiam1",0.692519075821136,1.14138154240442e-38
"ENSMUSG00000019828","Grm1",-2.1522326460332,1.22291938751286e-38
"ENSMUSG00000029613","Eif2ak1",-0.958415587843827,1.44248217505175e-38
"ENSMUSG00000004356","Utp20",0.829992094497314,1.44476575677173e-38
"ENSMUSG00000036898","Zfp157",-0.987043658210272,1.70716631039713e-38
"ENSMUSG00000036461","Elf1",0.795708538247647,1.98738610699568e-38
"ENSMUSG00000034684","Sema3f",0.957657079984936,3.32850694195981e-38
"ENSMUSG00000030761","Myo7a",-0.853783011996552,4.37388004916796e-38
"ENSMUSG00000007812","Zfp655",-0.929576608614171,4.58204864520753e-38
"ENSMUSG00000019942","Cdk1",0.789948051934322,6.09275181421613e-38
"ENSMUSG00000051098","Mblac2",-0.919119957931423,6.99411708294419e-38
"ENSMUSG00000053024","Cntn2",8.07949278230488,7.46917228880725e-38
"ENSMUSG00000042284","Itga1",1.00147593718759,7.87442327949069e-38
"ENSMUSG00000016534","Lamp2",0.641824527466849,7.87442327949069e-38
"ENSMUSG00000000308","Ckmt1",-0.780176001453236,8.06423954353904e-38
"ENSMUSG00000027931","Npr1",0.765162862988939,1.50595309214968e-37
"ENSMUSG00000019478","Rab4a",-0.899270061318519,1.586281206681e-37
"ENSMUSG00000005413","Hmox1",0.896234959022141,1.85523235408351e-37
"ENSMUSG00000035455","Fignl1",0.990802572182058,2.09095285604618e-37
"ENSMUSG00000027805","Pfn2",-0.696971831415579,2.4190323216337e-37
"ENSMUSG00000029389","Ddx55",0.9078500093059,2.47345543150069e-37
"ENSMUSG00000020205","Phlda1",1.48525010852425,2.80065233831861e-37
"ENSMUSG00000071773","Rhox1",-1.02566133763056,3.65390296496624e-37
"ENSMUSG00000079435","Rpl36a",-1.12873027224256,3.88168811739002e-37
"ENSMUSG00000050148","Ubqln2",-0.85944744866294,3.96426731201753e-37
"ENSMUSG00000029917","Qrfprl",2.18468234354254,4.42985763570851e-37
"ENSMUSG00000059743","Fdps",-0.888834709073662,5.13646801143289e-37
"ENSMUSG00000037419","Endod1",1.17125730502003,5.35004227122362e-37
"ENSMUSG00000020185","E2f7",0.86340483675055,5.60563819113617e-37
"ENSMUSG00000024039","Cbs",-0.82607645895427,5.71523479129729e-37
"ENSMUSG00000037736","Limch1",0.943611957156661,6.05075506517771e-37
