"GeneID_clean","GeneSymbol","n_events","event_types","max_abs_dPSI"
"ENSMUSG00000026490","Cdc42bpa",1,"SE",0.134
"ENSMUSG00000026556","Vangl2",1,"SE",0.443
"ENSMUSG00000026767","Mindy3",4,"SE,MXE",0.309
"ENSMUSG00000026782","Abi2",1,"SE",0.192
"ENSMUSG00000026853","Crat",1,"SE",0.105
"ENSMUSG00000026927","Entr1",4,"SE",0.576
"ENSMUSG00000026939","Tmem141",1,"A5SS",0.124
"ENSMUSG00000026975","Dph7",1,"A3SS",0.107
"ENSMUSG00000026991","Pkp4",1,"SE",0.104
"ENSMUSG00000027001","Dusp19",1,"SE",0.124
"ENSMUSG00000027071","P2rx3",1,"SE",0.331
"ENSMUSG00000027109","Sp3",1,"MXE",0.111
"ENSMUSG00000027201","Myef2",2,"SE",0.139
"ENSMUSG00000027247","Arhgap1",1,"RI",0.21
"ENSMUSG00000027263","Tubgcp4",2,"RI",0.132
"ENSMUSG00000027630","Tbl1xr1",2,"SE",0.304
"ENSMUSG00000027751","Supt20",1,"A3SS",0.1
"ENSMUSG00000027829","Ccnl1",4,"SE,A5SS,RI",0.148
"ENSMUSG00000027940","Tpm3",1,"SE",0.102
"ENSMUSG00000028048","Gba",1,"SE",0.131
"ENSMUSG00000028188","Spata1",1,"SE",0.195
"ENSMUSG00000028207","Asph",1,"SE",0.106
"ENSMUSG00000028256","Odf2l",2,"SE,RI",0.583
"ENSMUSG00000028402","Mpdz",2,"SE",0.232
"ENSMUSG00000028438","Kif24",1,"SE",0.151
"ENSMUSG00000028483","Snapc3",1,"SE",0.564
"ENSMUSG00000028487","Bnc2",1,"SE",0.124
"ENSMUSG00000028653","Trit1",2,"SE",0.158
"ENSMUSG00000028744","Slc66a1",1,"RI",0.133
"ENSMUSG00000028760","Eif4g3",1,"SE",0.265
"ENSMUSG00000028842","Ago3",1,"SE",0.597
"ENSMUSG00000028863","Meaf6",2,"SE",0.129
"ENSMUSG00000028919","Arhgef19",2,"SE",0.247
"ENSMUSG00000028964","Park7",1,"SE",0.372
"ENSMUSG00000029209","Gnpda2",1,"A3SS",0.201
"ENSMUSG00000029238","Clock",1,"SE",0.114
"ENSMUSG00000029403","Cdkl2",1,"MXE",0.116
"ENSMUSG00000029544","Cabp1",1,"SE",0.131
"ENSMUSG00000029716","Tfr2",1,"SE",0.138
"ENSMUSG00000029767","Calu",2,"SE,MXE",0.101
"ENSMUSG00000029778","Adcyap1r1",3,"SE,MXE",0.155
"ENSMUSG00000029810","Tmem176b",1,"SE",0.206
"ENSMUSG00000029817","Tra2a",1,"SE",0.11
"ENSMUSG00000029823","Luc7l2",1,"SE",0.108
"ENSMUSG00000029924","Slc37a3",1,"SE",0.399
"ENSMUSG00000030016","Zfp638",2,"SE",0.167
"ENSMUSG00000030089","Slc41a3",3,"SE",0.287
"ENSMUSG00000030166","Rad52",1,"RI",0.12
"ENSMUSG00000030188","Magohb",1,"SE",0.143
"ENSMUSG00000030199","Etv6",1,"SE",0.136
"ENSMUSG00000030231","Plekha5",2,"SE",0.297
"ENSMUSG00000030314","Atg7",1,"SE",0.484
"ENSMUSG00000030443","Zfp583",1,"A3SS",0.125
"ENSMUSG00000030598","Fbxo17",1,"A3SS",0.117
"ENSMUSG00000030649","Anapc15",1,"SE",0.118
"ENSMUSG00000030708","Dnajb13",1,"SE",0.146
"ENSMUSG00000030727","Rabep2",1,"RI",0.239
"ENSMUSG00000030846","Tial1",1,"SE",0.101
